id,title,videoId,description,thumbnail
1,California's Lithium Battery Fire - Cobalt Contamination Discussion,WX9UdhpAeCg,Dr. Jegede discusses the dangerous levels of cobalt spread from California's lithium battery fire and the lack of health warnings.,https://img.youtube.com/vi/WX9UdhpAeCg/maxresdefault.jpg
2,Environmental Toxicology Research and Soil Bioindicators,-r36Vh1UctQ,Science communication video on environmental toxicology research and the role of soil bioindicators in assessing ecosystem health.,https://img.youtube.com/vi/-r36Vh1UctQ/maxresdefault.jpg
